isd_station,ghcnh_station,station_name,state,lat,lon
70261026411,USW00026411,FAIRBANKS INTERNATIONAL,AK,64.803,-147.876
70273026451,USW00026451,TED STEVENS ANCHORAGE INTL,AK,61.169,-150.028
70381025309,USW00025309,JUNEAU INTERNATIONAL,AK,58.354,-134.556
72202012839,USW00012839,MIAMI INTERNATIONAL AIRPORT,FL,25.788,-80.317
72205012815,USW00012815,ORLANDO INTERNATIONAL AIRPORT,FL,28.418,-81.324
72206013889,USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT,FL,30.495,-81.694
72207003822,USW00003822,SAVANNAH/HILTON HEAD INTL AIRPORT,GA,32.131,-81.202
72208013880,USW00013880,CHARLESTON AFB/INTERNATIONAL AIRPORT,SC,32.899,-80.041
72211012842,USW00012842,TAMPA INTERNATIONAL AIRPORT,FL,27.963,-82.54
72219013874,USW00013874,HARTSFIELD-JACKSON ATLANTA INTL AP,GA,33.63,-84.442
72222313899,USW00013899,PENSACOLA REGIONAL AIRPORT,FL,30.476,-87.186
72228013876,USW00013876,BIRMINGHAM INTERNATIONAL AIRPORT,AL,33.565,-86.745
72231012916,USW00012916,LOUIS ARMSTRONG NEW ORLEANS INTL AP,LA,29.998,-90.278
72235003940,USW00003940,JACKSON INTERNATIONAL AIRPORT,MS,32.32,-90.078
72243012960,USW00012960,G BUSH INTERCONTINENTAL AP/HOUSTON AP,TX,29.984,-95.361
72248013957,USW00013957,SHREVEPORT REGIONAL AIRPORT,LA,32.447,-93.824
72253012921,USW00012921,SAN ANTONIO INTERNATIONAL AIRPORT,TX,29.544,-98.484
72254013904,USW00013904,AUSTIN-BERGSTROM INTL AIRPORT,TX,30.183,-97.68
72259003927,USW00003927,DALLAS/FT WORTH INTERNATIONAL AP,TX,32.897,-97.022
72270023044,USW00023044,EL PASO INTERNATIONAL AIRPORT,TX,31.812,-106.377
72274023160,USW00023160,TUCSON INTERNATIONAL AIRPORT,AZ,32.132,-110.956
72278023183,USW00023183,PHOENIX SKY HARBOR INTL AIRPORT,AZ,33.428,-112.004
72290023188,USW00023188,SAN DIEGO INTERNATIONAL AIRPORT,CA,32.734,-117.183
72295023174,USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,CA,33.938,-118.387
72297793184,USW00093184,J. WAYNE APT-ORANGE CO APT,CA,33.68,-117.867
72302013748,USW00013748,WILMINGTON INTERNATIONAL AIRPORT,NC,34.267,-77.9
72306013722,USW00013722,RALEIGH-DURHAM INTERNATIONAL AP,NC,35.892,-78.782
72308013737,USW00013737,NORFOLK INTERNATIONAL AIRPORT,VA,36.904,-76.193
72308693741,USW00093741,NWPT NEWS/WIMBURG INTL APT,VA,37.132,-76.494
72312003870,USW00003870,GREENVILLE-SPARTANBURG INTL AIRPORT,SC,34.906,-82.213
72314013881,USW00013881,CHARLOTTE/DOUGLAS INTERNATIONAL AP,NC,35.223,-80.954
